	WT	genotype	repID	centsize	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24	x25	y25	x26	y26	x27	y27	x28	y28	x29	y29	x30	y30	x31	y31	x32	y32	x33	y33	x34	y34	x35	y35	x36	y36	x37	y37	x38	y38	x39	y39	x40	y40	x41	y41	x42	y42	x43	y43	x44	y44	x45	y45	x46	y46	x47	y47	x48	y48
MA_010_rep2_00003	MA	MA10	rep2	484.1979605	0.049333622	-0.115363367	0.21801029	-0.030768179	0.232576524	0.022490145	0.158469336	0.090962001	-0.123825914	0.059173083	-0.191793608	0.048862752	-0.004249476	-0.060223813	-0.000827809	-0.019081735	-0.089973587	-0.001160145	-0.08921043	0.018331072	-0.14631976	0.020693939	-0.167146838	-0.01349337	-0.19867799	-0.022462891	-0.177542119	-0.069977501	-0.14450252	-0.10640691	-0.097466845	-0.124837477	-0.047511224	-0.126894661	0.001097816	-0.122692889	0.094056185	-0.106544521	0.142544779	-0.090807128	0.185555357	-0.065463912	0.230634855	-0.005147348	0.216756748	0.053143566	0.187099521	0.07724854	0.10243675	0.103090931	0.055409697	0.104193296	0.005460053	0.099433591	-0.056730085	0.088531045	-0.151865978	0.036838995	-0.1940456	0.025531222	0.023414453	-0.078882853	-0.05535071	-0.040333069	-0.105691148	-0.026006692	0.148001119	-0.024734396	0.073026653	-0.01941808	-0.045479254	-0.010543966	-0.14114384	0.000562042	0.174517181	0.029612398	0.116505446	0.032679756	0.050987589	0.033098964	-0.019557301	0.029881191	-0.115115001	0.019397294	0.097228299	0.078976927	0.044001841	0.071994822	-0.016200071	0.062339443	-0.074398546	0.046798224	-0.153802297	0.06639249	0.001303836	-0.039012825
MA_010_rep2_00004	MA	MA10	rep2	459.4503301	0.051486243	-0.115424887	0.218074993	-0.033747438	0.234820214	0.020544946	0.146545949	0.096478049	-0.118897081	0.06567625	-0.188021517	0.052709476	-0.007138833	-0.0604288	-0.003981805	-0.019479816	-0.09587933	2.85E-05	-0.093457844	0.017207879	-0.141671766	0.02022635	-0.16546185	-0.014555628	-0.194687744	-0.026347368	-0.179362754	-0.071745761	-0.144494949	-0.107323653	-0.097516627	-0.127271295	-0.047012888	-0.129398871	0.001636265	-0.124126402	0.094268397	-0.106230878	0.142653816	-0.090389671	0.186088178	-0.065701606	0.233017515	-0.005385148	0.217376096	0.054189373	0.187578126	0.078603187	0.102356485	0.104428456	0.055225695	0.105031819	0.005317622	0.099804657	-0.056746245	0.088798761	-0.152912208	0.038901217	-0.190109494	0.027947766	0.02267916	-0.079803218	-0.055464329	-0.041580726	-0.105677807	-0.027377363	0.147779798	-0.026106033	0.07310041	-0.019004614	-0.045560777	-0.011958115	-0.139048223	0.002158518	0.17428266	0.028774296	0.116414202	0.031960728	0.051018608	0.032287056	-0.019427072	0.029542817	-0.114900051	0.018458915	0.0969527	0.079699736	0.043953089	0.07182747	-0.016131557	0.062122892	-0.074415511	0.046943898	-0.154029514	0.06783368	-0.000618449	-0.038799358
MA_010_rep2_00005	MA	MA10	rep2	478.3008352	0.049189546	-0.116962739	0.216573614	-0.030538032	0.232495613	0.024246568	0.151657775	0.094122678	-0.116776144	0.06678425	-0.191365174	0.053908469	-0.003278668	-0.061755503	-0.000588651	-0.019510836	-0.090637307	-0.001669217	-0.088348775	0.017774623	-0.144617542	0.020382166	-0.167236775	-0.014854904	-0.195751233	-0.024592853	-0.180203343	-0.071950173	-0.145211454	-0.107867583	-0.097973359	-0.127924828	-0.047266204	-0.130558364	0.001550363	-0.125490692	0.094097271	-0.106692152	0.142071795	-0.089836486	0.18455312	-0.064249355	0.229950801	-0.004837481	0.217430194	0.05401267	0.187546284	0.078390355	0.102238199	0.103194445	0.055263807	0.103793471	0.00543329	0.09886534	-0.056596533	0.088257328	-0.153048478	0.039320745	-0.192745672	0.029200788	0.022937466	-0.079312273	-0.055500516	-0.041099776	-0.105712153	-0.026852996	0.147809828	-0.025033107	0.07295339	-0.019381072	-0.045535224	-0.011230423	-0.140629019	0.001245745	0.174305536	0.030108593	0.116322142	0.032153325	0.050924738	0.031827638	-0.019397187	0.028277715	-0.115000046	0.018908784	0.097056788	0.07891036	0.044013838	0.0709754	-0.015976017	0.06106687	-0.074230485	0.046301708	-0.154219899	0.069084531	0.001470457	-0.038913719
MA_010_rep2_00006	MA	MA10	rep2	485.6679042	0.047954122	-0.115937301	0.217763415	-0.030218705	0.234015608	0.022597537	0.154818068	0.091373642	-0.125764224	0.059640559	-0.191836643	0.052601712	0.000634697	-0.062358602	0.000798186	-0.018019541	-0.091291968	0.000480171	-0.088788967	0.01907037	-0.145166526	0.020806844	-0.169320782	-0.014204162	-0.196344787	-0.026672085	-0.179025078	-0.07117251	-0.144729961	-0.10701369	-0.097622488	-0.125974384	-0.047403578	-0.128734246	0.001300239	-0.124063904	0.093792066	-0.105518852	0.141688549	-0.088820379	0.184375997	-0.063812104	0.231415444	-0.005127756	0.217213553	0.053766613	0.186873625	0.077184793	0.102099211	0.101773414	0.055288871	0.102887059	0.005433435	0.098514937	-0.056848921	0.088460781	-0.152929837	0.038768474	-0.193207343	0.028498913	0.023616998	-0.078756394	-0.055208555	-0.039949484	-0.105573044	-0.02558369	0.147921262	-0.024948127	0.072964987	-0.018972965	-0.045332814	-0.009668892	-0.140375438	0.000641737	0.174343725	0.02897572	0.116374394	0.031911201	0.050901384	0.032843426	-0.01966897	0.030161744	-0.115178809	0.019709024	0.09742705	0.077205498	0.044119823	0.070265859	-0.016080832	0.061329259	-0.074508856	0.04675531	-0.153996704	0.067896573	0.003070413	-0.038593395
MA_010_rep2_00007	MA	MA10	rep2	488.7767147	0.051411691	-0.115812692	0.216899287	-0.030331119	0.233449351	0.024104944	0.154139651	0.092727139	-0.123213922	0.059303541	-0.190775506	0.052338251	-0.003043768	-0.061379779	0.002371964	-0.019081989	-0.089649244	0.000272788	-0.08804059	0.01850237	-0.145836279	0.02143965	-0.168592516	-0.012224297	-0.198297027	-0.022135652	-0.181513466	-0.07257457	-0.14576386	-0.108442978	-0.097782991	-0.126237164	-0.047503473	-0.12947143	0.001305773	-0.124976094	0.093666712	-0.105617385	0.141471625	-0.088699649	0.18407115	-0.063668063	0.230562179	-0.005021665	0.217810156	0.054234824	0.187506127	0.078225381	0.102124521	0.102107884	0.05529036	0.102404958	0.005588897	0.097205368	-0.056227589	0.086353031	-0.15239255	0.037732623	-0.193355238	0.029264019	0.023046941	-0.079168676	-0.055477941	-0.040506241	-0.105762235	-0.026038182	0.147838398	-0.024772758	0.072903433	-0.019007837	-0.045422084	-0.009817131	-0.140358343	0.004645613	0.174340138	0.029939381	0.116314289	0.032084079	0.050851996	0.032082646	-0.019534497	0.028380964	-0.115177976	0.019737822	0.097091121	0.078718707	0.04403783	0.070462578	-0.015902796	0.060207827	-0.074203573	0.045808218	-0.153812621	0.066324197	0.003546497	-0.039623451
MA_010_rep2_00008	MA	MA10	rep2	481.9307385	0.048485118	-0.116776714	0.219774911	-0.029406425	0.23325473	0.023363511	0.148547944	0.093698393	-0.123303209	0.061327185	-0.1910663	0.051907932	-0.003643468	-0.062123682	-0.000639357	-0.019335126	-0.08915045	0.000370765	-0.087355487	0.018407181	-0.145244097	0.020593959	-0.167621322	-0.012871157	-0.194508495	-0.022825253	-0.178901929	-0.071201008	-0.145202644	-0.107741449	-0.098161449	-0.128420486	-0.04732588	-0.130564632	0.001450476	-0.125173216	0.094075888	-0.106621935	0.142378175	-0.09046787	0.185548378	-0.065486236	0.231473489	-0.005389221	0.216924985	0.053418876	0.186955229	0.077194262	0.102194683	0.102334177	0.055296185	0.103435609	0.005396205	0.099026663	-0.05687836	0.088723584	-0.152576548	0.038137586	-0.192101346	0.029436462	0.022505344	-0.079840524	-0.055656384	-0.041410565	-0.105801543	-0.026714104	0.147927043	-0.024784464	0.073000068	-0.018832958	-0.045346522	-0.0100042	-0.13903001	0.002632987	0.17439934	0.029894486	0.116391978	0.032647895	0.050903307	0.033098922	-0.019611136	0.029789099	-0.115117318	0.019034685	0.097187005	0.078480099	0.043995765	0.071202214	-0.016233448	0.062150201	-0.074589283	0.047069686	-0.153997905	0.06763759	0.000997644	-0.039022785
MA_010_rep2_00009	MA	MA10	rep2	485.8546094	0.051218386	-0.119270808	0.216837338	-0.028430171	0.228889487	0.02543557	0.150659426	0.093866808	-0.124440671	0.060576431	-0.190294052	0.055052102	-0.003202798	-0.064155211	0.004365101	-0.020508267	-0.08735713	0.000298136	-0.085174511	0.018905027	-0.144838302	0.022401235	-0.166907422	-0.013224267	-0.19520926	-0.021011157	-0.18041568	-0.072107545	-0.146547311	-0.109844389	-0.098014693	-0.128138486	-0.04735737	-0.131205099	0.001689048	-0.127317124	0.094889519	-0.109646769	0.143217233	-0.092358431	0.185265017	-0.065286506	0.227569608	-0.004605903	0.215201348	0.052151396	0.186433845	0.076693777	0.102344821	0.104426089	0.0551149	0.105957774	0.005000934	0.101125386	-0.057371177	0.08993572	-0.152808525	0.038501794	-0.192079911	0.027417167	0.021426656	-0.080865198	-0.055868691	-0.041870055	-0.105691	-0.026354881	0.147854244	-0.024470327	0.072906697	-0.019985905	-0.045483278	-0.010545122	-0.138415953	0.003295236	0.174285731	0.030453236	0.116288478	0.033024588	0.050812182	0.033667778	-0.019705973	0.030204023	-0.115018316	0.020162612	0.097249382	0.077585997	0.04390386	0.07138572	-0.016405306	0.062889475	-0.074982512	0.048268418	-0.153780071	0.06765572	0.00394667	-0.040135596
MA_010_rep2_00010	MA	MA10	rep2	467.200745	0.048424937	-0.114806129	0.219050121	-0.032787097	0.234800456	0.021769319	0.148997061	0.094970832	-0.121399024	0.061725295	-0.190428984	0.053644133	-0.007431452	-0.059846561	-0.001814719	-0.01898524	-0.089470902	0.00037134	-0.088352989	0.017995252	-0.144889039	0.021665745	-0.169894873	-0.013946502	-0.195686971	-0.028975332	-0.178499982	-0.07104608	-0.143938518	-0.10626783	-0.097758273	-0.127595002	-0.047151226	-0.128979077	0.001365036	-0.123004188	0.094028669	-0.105442783	0.14251633	-0.090100768	0.18623118	-0.065873412	0.233009256	-0.005366762	0.217606582	0.054357706	0.187520737	0.078487519	0.102229193	0.103226905	0.055254725	0.103710598	0.005432314	0.098617902	-0.056562449	0.08769917	-0.152260085	0.037467629	-0.192113693	0.027172122	0.023026467	-0.079370777	-0.05536758	-0.040878316	-0.105445988	-0.025810719	0.147927299	-0.025037881	0.073071729	-0.019074729	-0.045400504	-0.010609454	-0.139206974	0.003620345	0.174335103	0.028874754	0.116408749	0.031843587	0.050971606	0.032293313	-0.019450112	0.028917956	-0.1149966	0.019476868	0.097140394	0.078922058	0.044027498	0.071106589	-0.016032015	0.06129762	-0.074265103	0.046322733	-0.153842217	0.067142296	-0.001715168	-0.038894944
MA_010_rep2_00011	MA	MA10	rep2	472.2909028	0.047562948	-0.115983393	0.218909728	-0.031971183	0.235743829	0.023030545	0.147473074	0.094946607	-0.12030047	0.062500379	-0.191724805	0.052155032	-0.007692486	-0.059718371	0.000619149	-0.019379097	-0.09218476	0.000464298	-0.089887919	0.017916774	-0.1445945	0.020703989	-0.164799703	-0.013591337	-0.195992657	-0.021453551	-0.179028471	-0.07123245	-0.144856282	-0.107324718	-0.097455838	-0.12565121	-0.047349626	-0.12784918	0.001281188	-0.123391792	0.094063556	-0.106373272	0.142500197	-0.090618759	0.185787012	-0.065695676	0.233056017	-0.005679986	0.218573516	0.054932206	0.187673392	0.078511562	0.102229762	0.102702411	0.055314759	0.10321721	0.005542095	0.098090175	-0.056330327	0.087075612	-0.152081783	0.037198225	-0.193259888	0.02567944	0.021963212	-0.080331041	-0.055368535	-0.040653868	-0.105655267	-0.0263273	0.147829336	-0.025547249	0.072968784	-0.019650075	-0.045524452	-0.010969168	-0.140370589	0.002625348	0.174405066	0.030112004	0.116391783	0.032638564	0.050936035	0.032420516	-0.019498398	0.029159364	-0.115057141	0.018962739	0.097011241	0.079381567	0.043986947	0.071313006	-0.016079025	0.061512473	-0.074297703	0.046396719	-0.153640211	0.065494449	0.00120821	-0.039748536
MA_010_rep2_00012	MA	MA10	rep2	476.6207756	0.049699346	-0.114865365	0.21828757	-0.030163602	0.234030367	0.022551141	0.148845324	0.09414793	-0.120856806	0.062082262	-0.193681093	0.053846359	-0.000762337	-0.061842228	0.002354916	-0.018806343	-0.091414857	0.000243897	-0.088597078	0.017652138	-0.144530131	0.022575406	-0.169154026	-0.013084407	-0.196588752	-0.024259285	-0.180351671	-0.072013848	-0.145012611	-0.107456442	-0.098069567	-0.128005379	-0.047341311	-0.129890712	0.001269406	-0.123989055	0.093529022	-0.104731559	0.14150043	-0.088489776	0.184443645	-0.063981165	0.231650235	-0.00525766	0.217228329	0.05385537	0.187109359	0.077677999	0.102151511	0.102616536	0.055244402	0.103220976	0.005477399	0.098045856	-0.056409273	0.087089731	-0.152526255	0.038162039	-0.194567605	0.030033737	0.023854824	-0.078435901	-0.055487685	-0.040855705	-0.105885083	-0.027017827	0.147838835	-0.025117338	0.072907186	-0.01955906	-0.045410581	-0.010148813	-0.140527531	0.00312879	0.174262725	0.029108248	0.116311766	0.031810388	0.050880475	0.032055505	-0.019483961	0.028366252	-0.115043256	0.019618357	0.097541502	0.07686372	0.044220543	0.069382743	-0.015822729	0.060050851	-0.074181579	0.045943791	-0.153848761	0.067077386	0.004915423	-0.039235936
